ssa_office_code, ssa_office_name,skip,address2, address1, city,state,zipcode,tel_public, x,Monday-Open,Monday-Close,Tuesday-Open,Tuesday-Close,Wednesday-Open,Wednesday-Close,Thursday-Open,Thursday-Close,Friday-Open,Friday-Close
001,PORTLAND ME,SOCIAL SECURITY,FLOOR 2,1355 CONGRESS ST,PORTLAND,ME,04102,(877) 319-3076,0,0,0,0,0,0,0,0,0,0
002,BANGOR ME,SOCIAL SECURITY,ROOM 10307,202 HARLOW ST,BANGOR,ME,04401,(877) 405-1448,0,0,0,0,0,0,0,0,0,0
003,AUGUSTA ME,SOCIAL SECURITY,SUITE 4,330 CIVIC CENTER DR,AUGUSTA,ME,04330,(866) 882-5422,0,0,0,0,0,0,0,0,0,0
004,AUBURN ME,SOCIAL SECURITY,SUITE 5,600 TURNER STREET,AUBURN,ME,04210,(833) 388-6432,0,0,0,0,0,0,0,0,0,0
005,PRESQUE ISLE ME,SOCIAL SECURITY,,365 MAIN ST,PRESQUE ISLE,ME,04769,(866) 837-2719,0,0,0,0,0,0,0,0,0,0
006,ROCKLAND ME,SOCIAL SECURITY,,169 CAMDEN ST,ROCKLAND,ME,04841,(855) 269-9179,0,0,0,0,0,0,0,0,0,0
007,MEADVILLE PA,SOCIAL SECURITY,,19063 PARK AVE PLAZA,MEADVILLE,PA,16335,(888) 347-9276,0,0,0,0,0,0,0,0,0,0
009,PHILA SOUTH PA,SOCIAL SECURITY,STADIUM PLAZA,3336 S BROAD STREET,PHILADELPHIA,PA,19145,(877) 575-5191,0,0,0,0,0,0,0,0,0,0
010,CONCORD NH,SOCIAL SECURITY,STE 100,70 COMMERCIAL ST,CONCORD,NH,03301,(888) 397-9798,0,0,0,0,0,0,0,0,0,0
011,PORTSMOUTH NH,SOCIAL SECURITY,ROOM 210A,80 DANIEL ST,PORTSMOUTH,NH,03801,(888) 397-9796,0,0,0,0,0,0,0,0,0,0
012,MANCHESTER NH,SOCIAL SECURITY,SUITE 201,1100 ELM ST,MANCHESTER,NH,03101,(866) 814-5408,0,0,0,0,0,0,0,0,0,0
013,LITTLETON NH,SOCIAL SECURITY,,177 MAIN ST,LITTLETON,NH,03561,(877) 405-7658,0,0,0,0,0,0,0,0,0,0
014,NASHUA NH,SOCIAL SECURITY,SUITE 2,175 AMHERST ST,NASHUA,NH,03064,(877) 444-0134,0,0,0,0,0,0,0,0,0,0
015,KEENE NH,SOCIAL SECURITY,,9 ELM STREET,KEENE,NH,03431,(877) 405-3651,0,0,0,0,0,0,0,0,0,0
019,BALTO NE MD,SOCIAL SECURITY,STE 106,2401 BELAIR RD,BALTIMORE,MD,21213,(866) 336-9653,0,0,0,0,0,0,0,0,0,0
020,BALTO WEST MD,SOCIAL SECURITY,SUITE S,1531 S EDGEWOOD STREET,BALTIMORE,MD,21227,(877) 870-6381,0,0,0,0,0,0,0,0,0,0
022,BURLINGTON VT,SOCIAL SECURITY,SUITE 107,128 LAKESIDE AVE,BURLINGTON,VT,05401,(877) 840-5776,0,0,0,0,0,0,0,0,0,0
023,RUTLAND VT,SOCIAL SECURITY,,246 WEST ST,RUTLAND,VT,05701,(866) 690-1944,0,0,0,0,0,0,0,0,0,0
024,MONTPELIER VT,SOCIAL SECURITY,,33 SCHOOL ST,MONTPELIER,VT,05602,(877) 505-4542,0,0,0,0,0,0,0,0,0,0
025,PAGO PAGO AM SAMOA,SOCIAL SECURITY,CENTENNIAL BUILDING,3RD FLR SUITE 302,PAGO PAGO,AS,96799,(855) 602-5033,0,0,0,0,0,0,0,0,0,0
026,CRENSHAW CA,SOCIAL SECURITY,,3840 CRENSHAW BLVD,LOS ANGELES,CA,90008,(877) 531-4693,0,0,0,0,0,0,0,0,0,0
027,SAN FERNANDO CA,SOCIAL SECURITY,,456 S F MISSION BLVD,SAN FERNANDO,CA,91340,(888) 383-1599,0,0,0,0,0,0,0,0,0,0
028,EAST OAKLAND CA,SOCIAL SECURITY,EASTMONT TOWN CENTER,7200 BANCROFT AVENUE,OAKLAND,CA,94605,(888) 527-9329,0,0,0,0,0,0,0,0,0,0
030,BOSTON MA,SOCIAL SECURITY,ROOM 148,10 CAUSEWAY STREET,BOSTON,MA,02222,(866) 964-7311,0,0,0,0,0,0,0,0,0,0
